Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
1,log(abs(x + err)) * x**2,log(abs(x + err)),x1 * x2,x**2,2.3047163486480713,0.10119999945163727
1,"min(sqrt(x), atanh(x))",sqrt(x),"min(x1, x2)",atanh(x),nan,0.10000000149011612
2,"max(log(1 + exp(x)), 0)",log(1 + exp(x)),"max(x1, x2)",0,2.206048369407654,0.20259999483823776
3,"min(x, 0) - (1/(1 + exp(-x)))","min(x, 0)",x1 - x2,(1/(1 + exp(-x))),2.558836340904236,0.1280600018799305
3,"min(x**2, sinc(x))",x**2,"min(x1, x2)",sinc(x),2.52704393863678,0.098580002784729
4,sqrt(x) - x,sqrt(x),x1 - x2,x,nan,0.10000000149011612
5,x**2 + sinc(x),x**2,x1 + x2,sinc(x),nan,0.10000000149011612
5,(1/(1 + exp(-x))) / (1 + err),(1/(1 + exp(-x))),x1 / (x2 + err),1,2.447406053543091,0.15534000098705292
6,"min(tanh(x), 1)",tanh(x),"min(x1, x2)",1,1.904614508152008,0.32137998938560486
Total time:,101.1053512096405
