Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
1,(-x) + 1,(-x),x1 + x2,1,1.024281620979309,0.6456000208854675
1,"max(max(x, 0), sin(x))","max(x, 0)","max(x1, x2)",sin(x),0.8046925663948059,0.7152000069618225
1,atanh(x) / (log(1 + exp(x)) + err),atanh(x),x1 / (x2 + err),log(1 + exp(x)),nan,0.10000000149011612
1,"max(x**3, erf(x))",x**3,"max(x1, x2)",erf(x),2.1840803623199463,0.16660000383853912
1,log(abs(x + err)) * abs(x),log(abs(x + err)),x1 * x2,abs(x),1.2759677171707153,0.5406000018119812
1,"max(x, 0) - (-x)","max(x, 0)",x1 - x2,(-x),0.9532269239425659,0.6672000288963318
1,tanh(x) * x**3,tanh(x),x1 * x2,x**3,2229588983808.0,0.10040000081062317
1,"max(x**3, cosh(x))",x**3,"max(x1, x2)",cosh(x),nan,0.10000000149011612
1,asinh(x) + exp(x),asinh(x),x1 + x2,exp(x),nan,0.10000000149011612
1,cosh(x) / (sin(x) + err),cosh(x),x1 / (x2 + err),sin(x),nan,0.10000000149011612
1,"min(0, atanh(x))",0,"min(x1, x2)",atanh(x),nan,0.10000000149011612
1,x**2 - sinc(x),x**2,x1 - x2,sinc(x),nan,0.10000000149011612
1,"min(max(x, 0), x)","max(x, 0)","min(x1, x2)",x,1.0077871084213257,0.6470000147819519
1,cosh(x) - cosh(x),cosh(x),x1 - x2,cosh(x),2.302589178085327,0.10000000149011612
1,"max(x**2, (1/(1 + exp(-x))))",x**2,"max(x1, x2)",(1/(1 + exp(-x))),nan,0.10000000149011612
1,"x**3 / (min(x, 0) + err)",x**3,x1 / (x2 + err),"min(x, 0)",2.3025870323181152,0.10000000149011612
1,cosh(x) + exp(-x^2),cosh(x),x1 + x2,exp(-x^2),nan,0.10000000149011612
1,erf(x) * x,erf(x),x1 * x2,x,0.9792783260345459,0.6588000059127808
1,"max(exp(x), abs(x))",exp(x),"max(x1, x2)",abs(x),nan,0.10000000149011612
1,tanh(x) + tanh(x),tanh(x),x1 + x2,tanh(x),0.9782548546791077,0.6588000059127808
1,"atanh(x) - min(x, 0)",atanh(x),x1 - x2,"min(x, 0)",nan,0.10000000149011612
1,"max(asinh(x), cosh(x))",asinh(x),"max(x1, x2)",cosh(x),nan,0.10000000149011612
1,"min(x**2, x)",x**2,"min(x1, x2)",x,0.9847062230110168,0.6456000208854675
1,"max(sinc(x), exp(x))",sinc(x),"max(x1, x2)",exp(x),nan,0.10000000149011612
1,0 - x**2,0,x1 - x2,x**2,19.4714298248291,0.10220000147819519
1,sin(x) / (erf(x) + err),sin(x),x1 / (x2 + err),erf(x),nan,0.10000000149011612
1,1 - exp(x),1,x1 - x2,exp(x),nan,0.10000000149011612
1,sinc(x) + sinc(x),sinc(x),x1 + x2,sinc(x),nan,0.10000000149011612
1,"x - min(x, 0)",x,x1 - x2,"min(x, 0)",0.8161486387252808,0.7106000185012817
1,"min(x, 0) * asinh(x)","min(x, 0)",x1 * x2,asinh(x),0.8603519797325134,0.6977999806404114
1,"max(exp(-x^2), sqrt(x))",exp(-x^2),"max(x1, x2)",sqrt(x),0.9600746035575867,0.6557999849319458
1,0 + abs(x),0,x1 + x2,abs(x),0.872118353843689,0.6912000179290771
1,"max(sinh(x), cosh(x))",sinh(x),"max(x1, x2)",cosh(x),nan,0.10000000149011612
1,log(abs(x + err)) / (exp(x) + err),log(abs(x + err)),x1 / (x2 + err),exp(x),nan,0.10000000149011612
1,"max(erf(x), max(x, 0))",erf(x),"max(x1, x2)","max(x, 0)",0.8077504634857178,0.7044000029563904
1,erf(x) + erf(x),erf(x),x1 + x2,erf(x),0.9310169816017151,0.6687999963760376
1,erf(x) + x**3,erf(x),x1 + x2,x**3,222729699328.0,0.0997999981045723
1,"min(x**3, cosh(x))",x**3,"min(x1, x2)",cosh(x),nan,0.10000000149011612
1,exp(x) - sinc(x),exp(x),x1 - x2,sinc(x),nan,0.10000000149011612
1,"max((1/(1 + exp(-x))), 0)",(1/(1 + exp(-x))),"max(x1, x2)",0,0.8780283331871033,0.6917999982833862
1,0 * x,0,x1 * x2,x,2.3025879859924316,0.10000000149011612
1,"min(exp(x), x**3)",exp(x),"min(x1, x2)",x**3,nan,0.10000000149011612
1,atanh(x) - 1,atanh(x),x1 - x2,1,nan,0.10000000149011612
1,exp(x) - erf(x),exp(x),x1 - x2,erf(x),nan,0.10000000149011612
1,sqrt(x) - cosh(x),sqrt(x),x1 - x2,cosh(x),nan,0.10000000149011612
1,"min(sinc(x), atanh(x))",sinc(x),"min(x1, x2)",atanh(x),nan,0.10000000149011612
1,"x + max(x, 0)",x,x1 + x2,"max(x, 0)",0.9137538075447083,0.6764000058174133
1,tanh(x) * sin(x),tanh(x),x1 * x2,sin(x),1.904922604560852,0.311599999666214
1,"min(sqrt(x), tanh(x))",sqrt(x),"min(x1, x2)",tanh(x),nan,0.10000000149011612
1,sin(x) + log(1 + exp(x)),sin(x),x1 + x2,log(1 + exp(x)),0.8602958917617798,0.6970000267028809
2,"min(log(1 + exp(x)), sqrt(x))",log(1 + exp(x)),"min(x1, x2)",sqrt(x),nan,0.10000000149011612
2,x**2 + x,x**2,x1 + x2,x,2.2658729553222656,0.1324000060558319
2,sqrt(x) / (erf(x) + err),sqrt(x),x1 / (x2 + err),erf(x),nan,0.10000000149011612
2,atanh(x) / (exp(-x^2) + err),atanh(x),x1 / (x2 + err),exp(-x^2),nan,0.10000000149011612
2,cosh(x) + cos(x),cosh(x),x1 + x2,cos(x),nan,0.10000000149011612
2,erf(x) - erf(x),erf(x),x1 - x2,erf(x),2.302586317062378,0.10000000149011612
2,asinh(x) - x**2,asinh(x),x1 - x2,x**2,1.542288899421692,0.4408000111579895
2,cos(x) * (1/(1 + exp(-x))),cos(x),x1 * x2,(1/(1 + exp(-x))),1.7119066715240479,0.501800000667572
2,"max(sqrt(x), atanh(x))",sqrt(x),"max(x1, x2)",atanh(x),nan,0.10000000149011612
2,"min(1, sinc(x))",1,"min(x1, x2)",sinc(x),nan,0.10000000149011612
2,"max(log(1 + exp(x)), 0)",log(1 + exp(x)),"max(x1, x2)",0,0.8161937594413757,0.7170000076293945
2,"min(max(x, 0), 0)","max(x, 0)","min(x1, x2)",0,2.30258846282959,0.10000000149011612
2,"max(0, cosh(x))",0,"max(x1, x2)",cosh(x),nan,0.10000000149011612
2,(-x) / (abs(x) + err),(-x),x1 / (x2 + err),abs(x),2.303450345993042,0.10000000149011612
2,log(abs(x + err)) + abs(x),log(abs(x + err)),x1 + x2,abs(x),nan,0.10000000149011612
2,asinh(x) * (1/(1 + exp(-x))),asinh(x),x1 * x2,(1/(1 + exp(-x))),0.8088943362236023,0.7138000130653381
2,x * sqrt(x),x,x1 * x2,sqrt(x),0.8418123126029968,0.7009999752044678
2,"max(atanh(x), (1/(1 + exp(-x))))",atanh(x),"max(x1, x2)",(1/(1 + exp(-x))),nan,0.10000000149011612
2,"min(asinh(x), x)",asinh(x),"min(x1, x2)",x,0.974535346031189,0.6628000140190125
2,atanh(x) * cosh(x),atanh(x),x1 * x2,cosh(x),nan,0.10000000149011612
2,"min((1/(1 + exp(-x))), cosh(x))",(1/(1 + exp(-x))),"min(x1, x2)",cosh(x),0.8522577881813049,0.6984000205993652
2,"min(x**2, sinh(x))",x**2,"min(x1, x2)",sinh(x),nan,0.10000000149011612
2,"max(x, 0) * log(1 + exp(x))","max(x, 0)",x1 * x2,log(1 + exp(x)),nan,0.10000000149011612
2,log(1 + exp(x)) - x**2,log(1 + exp(x)),x1 - x2,x**2,nan,0.10000000149011612
2,sinh(x) + log(abs(x + err)),sinh(x),x1 + x2,log(abs(x + err)),nan,0.10000000149011612
2,"max(sin(x), 1)",sin(x),"max(x1, x2)",1,2.3065578937530518,0.10000000149011612
2,"min(sinh(x), 0)",sinh(x),"min(x1, x2)",0,nan,0.10000000149011612
2,log(abs(x + err)) - tanh(x),log(abs(x + err)),x1 - x2,tanh(x),nan,0.10000000149011612
2,"max(log(abs(x + err)), 1)",log(abs(x + err)),"max(x1, x2)",1,2.3284473419189453,0.10000000149011612
