Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,(1/(1 + exp(-x))) - x,(1/(1 + exp(-x))),x1 - x2,x,cos(x) + sinc(x),cos(x),x1 + x2,sinc(x),sqrt(x) / (tanh(x) + err),sqrt(x),x1 / (x2 + err),tanh(x),nan,0.10000000149011612
1,(-x) / (atanh(x) + err),(-x),x1 / (x2 + err),atanh(x),sqrt(x) - exp(-x^2),sqrt(x),x1 - x2,exp(-x^2),"max(cosh(x), sinh(x))",cosh(x),"max(x1, x2)",sinh(x),nan,0.10000000149011612
1,(-x) - sin(x),(-x),x1 - x2,sin(x),(1/(1 + exp(-x))) + 1,(1/(1 + exp(-x))),x1 + x2,1,log(abs(x + err)) * erf(x),log(abs(x + err)),x1 * x2,erf(x),1.036428451538086,0.6466000080108643
1,erf(x) * tanh(x),erf(x),x1 * x2,tanh(x),sqrt(x) - x,sqrt(x),x1 - x2,x,"max(sinc(x), exp(x))",sinc(x),"max(x1, x2)",exp(x),nan,0.10000000149011612
1,"max(0, cos(x))",0,"max(x1, x2)",cos(x),"max(x, 0) * atanh(x)","max(x, 0)",x1 * x2,atanh(x),cos(x) / (tanh(x) + err),cos(x),x1 / (x2 + err),tanh(x),nan,0.10000000149011612
1,"max(sinh(x), abs(x))",sinh(x),"max(x1, x2)",abs(x),"(-x) - max(x, 0)",(-x),x1 - x2,"max(x, 0)","max(min(x, 0), erf(x))","min(x, 0)","max(x1, x2)",erf(x),0.8818525671958923,0.6862000226974487
1,cosh(x) + abs(x),cosh(x),x1 + x2,abs(x),"exp(x) - min(x, 0)",exp(x),x1 - x2,"min(x, 0)",0 - log(abs(x + err)),0,x1 - x2,log(abs(x + err)),nan,0.10000000149011612
1,exp(-x^2) * erf(x),exp(-x^2),x1 * x2,erf(x),"cosh(x) * min(x, 0)",cosh(x),x1 * x2,"min(x, 0)","max(max(x, 0), log(abs(x + err)))","max(x, 0)","max(x1, x2)",log(abs(x + err)),2.3025870323181152,0.10000000149011612
1,"max(x, 0) / (x + err)","max(x, 0)",x1 / (x2 + err),x,"min(atanh(x), sin(x))",atanh(x),"min(x1, x2)",sin(x),"max(erf(x), sqrt(x))",erf(x),"max(x1, x2)",sqrt(x),nan,0.10000000149011612
1,cos(x) + abs(x),cos(x),x1 + x2,abs(x),0 - (-x),0,x1 - x2,(-x),sin(x) + x**2,sin(x),x1 + x2,x**2,0.9635060429573059,0.652400016784668
1,"min(x, 0) + atanh(x)","min(x, 0)",x1 + x2,atanh(x),"(-x) / (min(x, 0) + err)",(-x),x1 / (x2 + err),"min(x, 0)",asinh(x) * log(abs(x + err)),asinh(x),x1 * x2,log(abs(x + err)),nan,0.10000000149011612
1,"max(x, 0) - 0","max(x, 0)",x1 - x2,0,exp(x) * 0,exp(x),x1 * x2,0,atanh(x) - sinc(x),atanh(x),x1 - x2,sinc(x),nan,0.10000000149011612
1,"max(x**2, exp(x))",x**2,"max(x1, x2)",exp(x),(1/(1 + exp(-x))) * exp(-x^2),(1/(1 + exp(-x))),x1 * x2,exp(-x^2),"max(max(x, 0), cosh(x))","max(x, 0)","max(x1, x2)",cosh(x),nan,0.10000000149011612
1,"1 - min(x, 0)",1,x1 - x2,"min(x, 0)",cos(x) + cos(x),cos(x),x1 + x2,cos(x),x**2 + exp(x),x**2,x1 + x2,exp(x),1.0999029874801636,0.6037999987602234
1,"max(exp(-x^2), x**3)",exp(-x^2),"max(x1, x2)",x**3,"min(x, 0) * log(1 + exp(x))","min(x, 0)",x1 * x2,log(1 + exp(x)),"max(1, (-x))",1,"max(x1, x2)",(-x),nan,0.10000000149011612
1,"min((1/(1 + exp(-x))), log(abs(x + err)))",(1/(1 + exp(-x))),"min(x1, x2)",log(abs(x + err)),"min(tanh(x), x)",tanh(x),"min(x1, x2)",x,"max(min(x, 0), atanh(x))","min(x, 0)","max(x1, x2)",atanh(x),nan,0.10000000149011612
1,log(abs(x + err)) / (tanh(x) + err),log(abs(x + err)),x1 / (x2 + err),tanh(x),"max(abs(x), 1)",abs(x),"max(x1, x2)",1,"min(cosh(x), min(x, 0))",cosh(x),"min(x1, x2)","min(x, 0)",nan,0.10000000149011612
1,"min(log(1 + exp(x)), max(x, 0))",log(1 + exp(x)),"min(x1, x2)","max(x, 0)",x**2 + exp(x),x**2,x1 + x2,exp(x),"min(asinh(x), erf(x))",asinh(x),"min(x1, x2)",erf(x),nan,0.10000000149011612
1,sqrt(x) * asinh(x),sqrt(x),x1 * x2,asinh(x),asinh(x) / (x**2 + err),asinh(x),x1 / (x2 + err),x**2,"max(x, 0) + x","max(x, 0)",x1 + x2,x,nan,0.10000000149011612
1,"max(cos(x), atanh(x))",cos(x),"max(x1, x2)",atanh(x),(1/(1 + exp(-x))) / (exp(x) + err),(1/(1 + exp(-x))),x1 / (x2 + err),exp(x),"max(log(abs(x + err)), (1/(1 + exp(-x))))",log(abs(x + err)),"max(x1, x2)",(1/(1 + exp(-x))),nan,0.10000000149011612
1,exp(x) - (-x),exp(x),x1 - x2,(-x),exp(-x^2) - (-x),exp(-x^2),x1 - x2,(-x),"max(sinc(x), sinh(x))",sinc(x),"max(x1, x2)",sinh(x),nan,0.10000000149011612
1,0 - sin(x),0,x1 - x2,sin(x),sinc(x) + (-x),sinc(x),x1 + x2,(-x),"max(erf(x), log(abs(x + err)))",erf(x),"max(x1, x2)",log(abs(x + err)),nan,0.10000000149011612
1,exp(x) * sqrt(x),exp(x),x1 * x2,sqrt(x),exp(-x^2) + x**3,exp(-x^2),x1 + x2,x**3,"min(asinh(x), sinh(x))",asinh(x),"min(x1, x2)",sinh(x),nan,0.10000000149011612
1,"max(asinh(x), asinh(x))",asinh(x),"max(x1, x2)",asinh(x),"min(log(abs(x + err)), sin(x))",log(abs(x + err)),"min(x1, x2)",sin(x),log(abs(x + err)) + cos(x),log(abs(x + err)),x1 + x2,cos(x),nan,0.10000000149011612
1,x**3 + x**3,x**3,x1 + x2,x**3,0 - cos(x),0,x1 - x2,cos(x),tanh(x) * sinc(x),tanh(x),x1 * x2,sinc(x),1.3929667472839355,0.4957999885082245
1,"max(atanh(x), tanh(x))",atanh(x),"max(x1, x2)",tanh(x),"max(min(x, 0), (-x))","min(x, 0)","max(x1, x2)",(-x),sqrt(x) / (cos(x) + err),sqrt(x),x1 / (x2 + err),cos(x),nan,0.10000000149011612
1,"max(x, sinc(x))",x,"max(x1, x2)",sinc(x),exp(x) * x**3,exp(x),x1 * x2,x**3,"max(x, 0) + log(1 + exp(x))","max(x, 0)",x1 + x2,log(1 + exp(x)),nan,0.10000000149011612
1,x / (1 + err),x,x1 / (x2 + err),1,1 - erf(x),1,x1 - x2,erf(x),0 * x**3,0,x1 * x2,x**3,2.3025870323181152,0.10000000149011612
1,0 + log(1 + exp(x)),0,x1 + x2,log(1 + exp(x)),"max(x, 0) / (atanh(x) + err)","max(x, 0)",x1 / (x2 + err),atanh(x),"sin(x) - max(x, 0)",sin(x),x1 - x2,"max(x, 0)",nan,0.10000000149011612
1,"max(abs(x), log(abs(x + err)))",abs(x),"max(x1, x2)",log(abs(x + err)),"max(cos(x), x**2)",cos(x),"max(x1, x2)",x**2,atanh(x) - sqrt(x),atanh(x),x1 - x2,sqrt(x),nan,0.10000000149011612
1,exp(-x^2) * sin(x),exp(-x^2),x1 * x2,sin(x),"max(cosh(x), log(1 + exp(x)))",cosh(x),"max(x1, x2)",log(1 + exp(x)),"min(x, 0) - x**3","min(x, 0)",x1 - x2,x**3,nan,0.10000000149011612
1,x**2 - exp(x),x**2,x1 - x2,exp(x),x**2 + cos(x),x**2,x1 + x2,cos(x),x * 0,x,x1 * x2,0,2.302586793899536,0.10000000149011612
1,"min(sinc(x), sin(x))",sinc(x),"min(x1, x2)",sin(x),exp(x) + (-x),exp(x),x1 + x2,(-x),erf(x) + cosh(x),erf(x),x1 + x2,cosh(x),nan,0.10000000149011612
1,abs(x) + sinc(x),abs(x),x1 + x2,sinc(x),"min(sinh(x), erf(x))",sinh(x),"min(x1, x2)",erf(x),sin(x) * cosh(x),sin(x),x1 * x2,cosh(x),nan,0.10000000149011612
1,"sinh(x) - max(x, 0)",sinh(x),x1 - x2,"max(x, 0)","max((-x), max(x, 0))",(-x),"max(x1, x2)","max(x, 0)",(1/(1 + exp(-x))) * atanh(x),(1/(1 + exp(-x))),x1 * x2,atanh(x),nan,0.10000000149011612
1,"max(x**2, sin(x))",x**2,"max(x1, x2)",sin(x),(1/(1 + exp(-x))) + (-x),(1/(1 + exp(-x))),x1 + x2,(-x),"min(cos(x), exp(x))",cos(x),"min(x1, x2)",exp(x),nan,0.10000000149011612
1,exp(x) + x**2,exp(x),x1 + x2,x**2,"max(0, log(1 + exp(x)))",0,"max(x1, x2)",log(1 + exp(x)),"erf(x) * max(x, 0)",erf(x),x1 * x2,"max(x, 0)",nan,0.10000000149011612
1,sinc(x) - x**3,sinc(x),x1 - x2,x**3,"max(exp(-x^2), cosh(x))",exp(-x^2),"max(x1, x2)",cosh(x),"min(abs(x), x**3)",abs(x),"min(x1, x2)",x**3,nan,0.10000000149011612
1,exp(x) / (1 + err),exp(x),x1 / (x2 + err),1,cosh(x) * abs(x),cosh(x),x1 * x2,abs(x),x**3 + x,x**3,x1 + x2,x,nan,0.10000000149011612
1,cosh(x) + 1,cosh(x),x1 + x2,1,"max((-x), asinh(x))",(-x),"max(x1, x2)",asinh(x),0 / (erf(x) + err),0,x1 / (x2 + err),erf(x),2.3025875091552734,0.10000000149011612
1,"min(sin(x), sinh(x))",sin(x),"min(x1, x2)",sinh(x),"min(x, 0) / (sin(x) + err)","min(x, 0)",x1 / (x2 + err),sin(x),"min(sinh(x), log(abs(x + err)))",sinh(x),"min(x1, x2)",log(abs(x + err)),nan,0.10000000149011612
1,"max(exp(-x^2), asinh(x))",exp(-x^2),"max(x1, x2)",asinh(x),"max(0, log(abs(x + err)))",0,"max(x1, x2)",log(abs(x + err)),(1/(1 + exp(-x))) - log(abs(x + err)),(1/(1 + exp(-x))),x1 - x2,log(abs(x + err)),nan,0.10000000149011612
1,erf(x) / ((-x) + err),erf(x),x1 / (x2 + err),(-x),"min(tanh(x), 1)",tanh(x),"min(x1, x2)",1,sin(x) - cosh(x),sin(x),x1 - x2,cosh(x),2.3026421070098877,0.10000000149011612
1,"max(x, 0) / (atanh(x) + err)","max(x, 0)",x1 / (x2 + err),atanh(x),"max(min(x, 0), asinh(x))","min(x, 0)","max(x1, x2)",asinh(x),"max(x**3, atanh(x))",x**3,"max(x1, x2)",atanh(x),nan,0.10000000149011612
