Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,"max(max(x, 0), log(abs(x + err)))","max(x, 0)","max(x1, x2)",log(abs(x + err)),"log(1 + exp(x)) / (max(x, 0) + err)",log(1 + exp(x)),x1 / (x2 + err),"max(x, 0)",tanh(x) * 1,tanh(x),x1 * x2,1,nan,0.10000000149011612
1,"max(cos(x), atanh(x))",cos(x),"max(x1, x2)",atanh(x),x * erf(x),x,x1 * x2,erf(x),"min(1, min(x, 0))",1,"min(x1, x2)","min(x, 0)",nan,0.10000000149011612
1,atanh(x) * x,atanh(x),x1 * x2,x,"min(sinc(x), abs(x))",sinc(x),"min(x1, x2)",abs(x),"max(sin(x), sqrt(x))",sin(x),"max(x1, x2)",sqrt(x),nan,0.10000000149011612
1,"min(erf(x), log(1 + exp(x)))",erf(x),"min(x1, x2)",log(1 + exp(x)),"min(sinh(x), log(1 + exp(x)))",sinh(x),"min(x1, x2)",log(1 + exp(x)),exp(-x^2) - x**2,exp(-x^2),x1 - x2,x**2,4.764187335968018,0.13040000200271606
1,"max(sqrt(x), 0)",sqrt(x),"max(x1, x2)",0,"max(cosh(x), exp(x))",cosh(x),"max(x1, x2)",exp(x),"atanh(x) / (max(x, 0) + err)",atanh(x),x1 / (x2 + err),"max(x, 0)",nan,0.10000000149011612
1,"max(exp(-x^2), sinh(x))",exp(-x^2),"max(x1, x2)",sinh(x),"min(sinh(x), x)",sinh(x),"min(x1, x2)",x,"max(x, 0) / (log(abs(x + err)) + err)","max(x, 0)",x1 / (x2 + err),log(abs(x + err)),nan,0.10000000149011612
1,log(abs(x + err)) + (-x),log(abs(x + err)),x1 + x2,(-x),sqrt(x) / (log(abs(x + err)) + err),sqrt(x),x1 / (x2 + err),log(abs(x + err)),log(abs(x + err)) / (abs(x) + err),log(abs(x + err)),x1 / (x2 + err),abs(x),nan,0.10000000149011612
1,erf(x) + x**3,erf(x),x1 + x2,x**3,(-x) + erf(x),(-x),x1 + x2,erf(x),"max(sinc(x), min(x, 0))",sinc(x),"max(x1, x2)","min(x, 0)",nan,0.10000000149011612
1,"max(atanh(x), x**2)",atanh(x),"max(x1, x2)",x**2,"min(1, asinh(x))",1,"min(x1, x2)",asinh(x),"max(x, 0) - tanh(x)","max(x, 0)",x1 - x2,tanh(x),nan,0.10000000149011612
1,"max(erf(x), tanh(x))",erf(x),"max(x1, x2)",tanh(x),cos(x) + x,cos(x),x1 + x2,x,cosh(x) * atanh(x),cosh(x),x1 * x2,atanh(x),nan,0.10000000149011612
1,x**2 * sqrt(x),x**2,x1 * x2,sqrt(x),sqrt(x) - asinh(x),sqrt(x),x1 - x2,asinh(x),cosh(x) / (abs(x) + err),cosh(x),x1 / (x2 + err),abs(x),nan,0.10000000149011612
1,log(1 + exp(x)) - cosh(x),log(1 + exp(x)),x1 - x2,cosh(x),exp(-x^2) * cos(x),exp(-x^2),x1 * x2,cos(x),0 * log(1 + exp(x)),0,x1 * x2,log(1 + exp(x)),2.3025858402252197,0.10000000149011612
