Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
1,cosh(x) * cosh(x),cosh(x),x1 * x2,cosh(x),nan,0.009999999776482582
1,"min(exp(-x^2), exp(-x^2))",exp(-x^2),"min(x1, x2)",exp(-x^2),4.6053361892700195,0.009999999776482582
1,sqrt(x) / (asinh(x) + err),sqrt(x),x1 / (x2 + err),asinh(x),nan,0.009999999776482582
1,(1/(1 + exp(-x))) + cosh(x),(1/(1 + exp(-x))),x1 + x2,cosh(x),nan,0.009999999776482582
1,"max(0, cos(x))",0,"max(x1, x2)",cos(x),4.440439224243164,0.026799999177455902
1,asinh(x) * atanh(x),asinh(x),x1 * x2,atanh(x),nan,0.009999999776482582
1,abs(x) * log(abs(x + err)),abs(x),x1 * x2,log(abs(x + err)),3.8856594562530518,0.1356000006198883
1,"min(x, 0) / (1 + err)","min(x, 0)",x1 / (x2 + err),1,3.037102222442627,0.2630000114440918
1,"min(0, (1/(1 + exp(-x))))",0,"min(x1, x2)",(1/(1 + exp(-x))),4.605170726776123,0.009999999776482582
1,(1/(1 + exp(-x))) - erf(x),(1/(1 + exp(-x))),x1 - x2,erf(x),3.17189621925354,0.24560000002384186
1,abs(x) + log(abs(x + err)),abs(x),x1 + x2,log(abs(x + err)),nan,0.009999999776482582
1,asinh(x) * (-x),asinh(x),x1 * x2,(-x),3.9597327709198,0.11259999871253967
1,0 - erf(x),0,x1 - x2,erf(x),2.956993818283081,0.2773999869823456
1,sin(x) * atanh(x),sin(x),x1 * x2,atanh(x),nan,0.009999999776482582
1,"max(sinh(x), sinc(x))",sinh(x),"max(x1, x2)",sinc(x),nan,0.009999999776482582
1,atanh(x) / (asinh(x) + err),atanh(x),x1 / (x2 + err),asinh(x),nan,0.009999999776482582
1,1 * cos(x),1,x1 * x2,cos(x),3.765040636062622,0.14000000059604645
1,"min(x**2, x)",x**2,"min(x1, x2)",x,2.7794713973999023,0.3240000009536743
1,asinh(x) / (exp(-x^2) + err),asinh(x),x1 / (x2 + err),exp(-x^2),nan,0.009999999776482582
1,sin(x) - abs(x),sin(x),x1 - x2,abs(x),3.0846030712127686,0.25440001487731934
1,"min(exp(x), 0)",exp(x),"min(x1, x2)",0,4.605170249938965,0.009999999776482582
1,sinc(x) / (abs(x) + err),sinc(x),x1 / (x2 + err),abs(x),nan,0.009999999776482582
1,sinh(x) - (1/(1 + exp(-x))),sinh(x),x1 - x2,(1/(1 + exp(-x))),nan,0.009999999776482582
1,"max(x**2, exp(-x^2))",x**2,"max(x1, x2)",exp(-x^2),5.110123157501221,0.01080000028014183
1,"(-x) + max(x, 0)",(-x),x1 + x2,"max(x, 0)",2.5890824794769287,0.35600000619888306
1,"min(atanh(x), sqrt(x))",atanh(x),"min(x1, x2)",sqrt(x),nan,0.009999999776482582
1,"min(x, 0) - max(x, 0)","min(x, 0)",x1 - x2,"max(x, 0)",3.3515913486480713,0.2125999927520752
1,"min(0, max(x, 0))",0,"min(x1, x2)","max(x, 0)",4.6051716804504395,0.009999999776482582
1,cosh(x) / (cos(x) + err),cosh(x),x1 / (x2 + err),cos(x),nan,0.009999999776482582
1,log(1 + exp(x)) - sqrt(x),log(1 + exp(x)),x1 - x2,sqrt(x),nan,0.009999999776482582
1,sinh(x) - asinh(x),sinh(x),x1 - x2,asinh(x),nan,0.009999999776482582
1,x**2 * tanh(x),x**2,x1 * x2,tanh(x),4.492211818695068,0.044599998742341995
1,sqrt(x) / (x**3 + err),sqrt(x),x1 / (x2 + err),x**3,nan,0.009999999776482582
1,x / (exp(-x^2) + err),x,x1 / (x2 + err),exp(-x^2),nan,0.009999999776482582
1,x**3 / (exp(-x^2) + err),x**3,x1 / (x2 + err),exp(-x^2),nan,0.009999999776482582
1,sinh(x) / (sinh(x) + err),sinh(x),x1 / (x2 + err),sinh(x),nan,0.009999999776482582
1,"min(log(abs(x + err)), x)",log(abs(x + err)),"min(x1, x2)",x,nan,0.009999999776482582
1,"max(sinc(x), log(1 + exp(x)))",sinc(x),"max(x1, x2)",log(1 + exp(x)),2.9355132579803467,0.28619998693466187
1,"max(cosh(x), max(x, 0))",cosh(x),"max(x1, x2)","max(x, 0)",nan,0.009999999776482582
1,sinc(x) / (x + err),sinc(x),x1 / (x2 + err),x,nan,0.009999999776482582
1,"min(exp(x), log(abs(x + err)))",exp(x),"min(x1, x2)",log(abs(x + err)),nan,0.009999999776482582
1,atanh(x) * log(1 + exp(x)),atanh(x),x1 * x2,log(1 + exp(x)),nan,0.009999999776482582
1,sinc(x) / (sqrt(x) + err),sinc(x),x1 / (x2 + err),sqrt(x),nan,0.009999999776482582
1,"min(cosh(x), (-x))",cosh(x),"min(x1, x2)",(-x),3.0025482177734375,0.2800000011920929
1,"min(1, sinh(x))",1,"min(x1, x2)",sinh(x),nan,0.009999999776482582
1,sinh(x) / (asinh(x) + err),sinh(x),x1 / (x2 + err),asinh(x),nan,0.009999999776482582
1,(1/(1 + exp(-x))) / (log(abs(x + err)) + err),(1/(1 + exp(-x))),x1 / (x2 + err),log(abs(x + err)),nan,0.009999999776482582
1,"min(x, 0) / (asinh(x) + err)","min(x, 0)",x1 / (x2 + err),asinh(x),625123459072.0,0.008999999612569809
