Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,asinh(x) - (1/(1 + exp(-x))),asinh(x),x1 - x2,(1/(1 + exp(-x))),cos(x) * sinc(x),cos(x),x1 * x2,sinc(x),log(abs(x + err)) / (cos(x) + err),log(abs(x + err)),x1 / (x2 + err),cos(x),nan,0.10000000149011612
1,"max(x, 0) * exp(-x^2)","max(x, 0)",x1 * x2,exp(-x^2),"max(x, 0) / (log(abs(x + err)) + err)","max(x, 0)",x1 / (x2 + err),log(abs(x + err)),"min(x**3, x)",x**3,"min(x1, x2)",x,nan,0.10000000149011612
1,1 / (asinh(x) + err),1,x1 / (x2 + err),asinh(x),"tanh(x) - max(x, 0)",tanh(x),x1 - x2,"max(x, 0)","max((1/(1 + exp(-x))), log(1 + exp(x)))",(1/(1 + exp(-x))),"max(x1, x2)",log(1 + exp(x)),nan,0.10000000149011612
1,"max(x, min(x, 0))",x,"max(x1, x2)","min(x, 0)",x**2 + cos(x),x**2,x1 + x2,cos(x),abs(x) + asinh(x),abs(x),x1 + x2,asinh(x),1.028953194618225,0.6380000114440918
1,sqrt(x) - tanh(x),sqrt(x),x1 - x2,tanh(x),"min(x, 0) + log(abs(x + err))","min(x, 0)",x1 + x2,log(abs(x + err)),"log(abs(x + err)) - min(x, 0)",log(abs(x + err)),x1 - x2,"min(x, 0)",nan,0.10000000149011612
1,"max(x, 0) + sin(x)","max(x, 0)",x1 + x2,sin(x),1 - erf(x),1,x1 - x2,erf(x),"min(abs(x), cosh(x))",abs(x),"min(x1, x2)",cosh(x),0.8778363466262817,0.6934000253677368
1,atanh(x) / ((-x) + err),atanh(x),x1 / (x2 + err),(-x),"x**3 / (min(x, 0) + err)",x**3,x1 / (x2 + err),"min(x, 0)",tanh(x) - abs(x),tanh(x),x1 - x2,abs(x),nan,0.10000000149011612
1,0 * x**2,0,x1 * x2,x**2,"min(erf(x), abs(x))",erf(x),"min(x1, x2)",abs(x),"min((1/(1 + exp(-x))), sinc(x))",(1/(1 + exp(-x))),"min(x1, x2)",sinc(x),nan,0.10000000149011612
1,sinc(x) - x,sinc(x),x1 - x2,x,erf(x) / (atanh(x) + err),erf(x),x1 / (x2 + err),atanh(x),"min(log(abs(x + err)), exp(-x^2))",log(abs(x + err)),"min(x1, x2)",exp(-x^2),nan,0.10000000149011612
1,atanh(x) * abs(x),atanh(x),x1 * x2,abs(x),sinh(x) + (1/(1 + exp(-x))),sinh(x),x1 + x2,(1/(1 + exp(-x))),abs(x) + cosh(x),abs(x),x1 + x2,cosh(x),nan,0.10000000149011612
